lambda L W U0 U1 U2 U3 L0 W0 L1 W1 L2 W2 L3 W3
0.610500 14067.381109 16043.126948 0.999944 0.334738 0.682578 0.999806 9822.902988 6410.517281 0.504751 1.508747 2.124908 6.291802 4241.848461 12579.136152
0.620000 14181.809224 16038.142172 0.999948 0.333529 0.672892 0.999737 9903.646175 6445.669876 0.496159 1.482493 2.050540 6.079476 4275.616351 12783.420793
0.629500 14944.729750 16770.136079 0.999876 0.334439 0.670411 0.999573 11014.125390 7143.061141 0.495704 1.485614 2.062039 6.188977 3928.046618 11880.263906
0.639000 15651.421542 17029.812845 0.999944 0.338456 0.659661 0.999966 11395.197198 7338.160020 0.514369 1.532099 1.900175 5.781618 4253.809800 12680.297407
0.648500 15780.280355 16866.701475 0.999987 0.333208 0.670490 0.999649 11504.294959 7369.805292 0.498463 1.497787 2.018350 6.012229 4273.468583 12774.729009
0.658000 16193.861955 17313.868183 0.999923 0.332347 0.669296 0.999776 11918.952122 7597.346894 0.496746 1.498985 2.012148 6.053900 4272.400939 12757.315861
0.667500 16769.842770 17494.497482 0.999934 0.331235 0.667415 0.999889 12577.852111 7971.228296 0.496320 1.499876 1.988498 5.978340 4189.505840 12579.930178
0.677000 17226.450679 17742.463634 0.999945 0.334853 0.665956 0.999978 13016.970823 8173.169704 0.507889 1.515864 2.031136 6.081291 4206.940831 12580.811981
0.686500 17743.017153 18294.295890 0.999958 0.331620 0.674999 0.999817 13581.274011 8464.930258 0.494759 1.487596 2.050092 6.108739 4159.198290 12458.877811
0.696000 18012.218255 18018.573984 0.999864 0.332275 0.668713 0.999842 13695.132452 8489.214248 0.499483 1.501084 1.953737 5.905599 4314.632583 12860.279201
0.705500 18940.896389 18836.362906 0.999929 0.335208 0.663745 0.999964 14868.409928 9178.196499 0.505482 1.510258 1.984150 5.991744 4069.996830 12339.818441
0.715000 19050.906712 18911.357873 0.999992 0.335101 0.666288 0.999670 15104.242746 9255.318900 0.504194 1.511333 1.975769 5.940037 3944.184002 11838.889371
0.724500 19217.349895 18669.250504 0.999948 0.328597 0.667630 0.999891 14975.940526 9121.621340 0.485756 1.474590 1.986703 5.921666 4238.936910 12795.657858
0.734000 20167.115270 19385.640653 0.999969 0.334835 0.658692 0.999796 15912.099702 9660.665064 0.506548 1.530237 1.906561 5.738813 4252.602460 12834.099530
0.743500 20172.249256 19219.978418 0.999993 0.334498 0.659765 0.999943 16215.884091 9816.805031 0.504760 1.517576 1.911222 5.778981 3953.949182 11764.719639
0.753000 20714.237913 19510.934465 0.999946 0.335846 0.670754 0.999841 16770.626568 10033.402019 0.505838 1.516308 2.067562 6.137591 3941.037944 11850.108470
0.762500 21469.281393 19856.034782 0.999933 0.329770 0.671911 0.999849 17403.513259 10363.539466 0.496858 1.499472 1.983007 5.922689 4063.288269 12202.321861
0.772000 22325.195525 20132.788456 0.999952 0.334198 0.659013 0.999709 18253.923247 10764.049399 0.506239 1.516005 1.957159 5.937990 4068.808880 12248.042201
0.781500 22059.093534 20076.847679 0.999981 0.332583 0.666653 0.999864 18191.233879 10764.228959 0.500391 1.501870 1.956001 5.866579 3865.403263 11681.204894
0.791000 22730.068938 20117.691168 0.999923 0.335599 0.667221 0.999910 18563.469249 10834.844859 0.503698 1.507915 2.008561 6.014028 4164.087429 12599.695153
0.800500 23386.212814 20486.884147 0.999966 0.337086 0.659769 0.999898 19193.692698 11134.886464 0.510252 1.522006 1.976850 5.909691 4190.033014 12530.358796
0.810000 24090.624052 20778.082103 0.999987 0.332401 0.664804 0.999864 19862.565028 11545.299398 0.494545 1.495766 2.005189 6.027656 4225.559290 12633.463139
0.819500 24566.936587 21127.337694 0.999990 0.334731 0.667565 0.999819 20645.360345 11861.255684 0.502327 1.504107 1.976660 5.900302 3919.097256 11757.160359
0.829000 24922.945242 20959.878635 0.999984 0.328518 0.666927 0.999693 20555.368064 11779.476400 0.486647 1.467795 1.967285 5.904482 4365.123246 12976.280266
0.838500 25049.927682 21255.657654 0.999981 0.332543 0.663118 0.999871 21048.271721 12033.167346 0.496628 1.487399 1.927690 5.810531 3999.231643 12010.488671
0.848000 25834.255438 21285.148259 0.999955 0.335104 0.670764 0.999966 21469.824826 12165.917690 0.508981 1.523783 1.976484 5.899779 4361.945147 12980.161568
