time njob nq
416.072 14 13
416.211 15 14
416.705 16 15
417.052 17 16
417.142 18 17
418.433 17 16
418.435 18 17
419.309 17 16
419.645 16 15
420.557 15 14
421.03 14 13
421.345 13 12
421.377 14 13
421.464 15 14
421.964 16 15
422.224 15 14
422.498 16 15
422.925 17 16
423.436 18 17
423.535 17 16
423.889 16 15
423.977 17 16
424.314 16 15
425.474 17 16
426.023 18 17
426.14 17 16
426.236 16 15
426.964 15 14
427.426 16 15
428.294 15 14
428.414 14 13
430.607 15 14
431.587 14 13
432.619 13 12
433.166 14 13
433.449 15 14
434.337 16 15
436.33 15 14
437.665 16 15
437.695 15 14
437.7 16 15
438.041 17 16
439.093 18 17
439.18 17 16
439.934 16 15
440.716 15 14
441.007 14 13
441.129 15 14
441.531 14 13
441.68 15 14
442.513 14 13
442.563 13 12
442.71 12 11
443.062 11 10
443.299 10 9
443.678 9 8
444.472 8 7
444.519 9 8
445.069 8 7
445.764 7 6
445.855 8 7
446.161 7 6
446.228 8 7
447.888 7 6
448.304 6 5
449.283 5 4
449.336 4 3
449.594 5 4
450.139 6 5
451.706 5 4
451.838 6 5
452.082 7 6
452.806 6 5
453.462 5 4
453.609 4 3
454.47 5 4
454.513 6 5
454.655 5 4
455.26 6 5
455.574 7 6
455.631 8 7
457.768 9 8
457.807 10 9
459.195 11 10
459.229 10 9
459.59 11 10
459.864 10 9
460.545 9 8
461.159 10 9
461.534 11 10
462.92 12 11
463.915 11 10
464.086 12 11
464.189 11 10
464.294 10 9
465.625 9 8
465.744 10 9
466.996 11 10
467.801 10 9
467.916 9 8
468.424 10 9
468.537 9 8
469.047 10 9
469.252 9 8
469.887 8 7
470.26 7 6
471.164 6 5
471.779 7 6
471.788 8 7
472.347 7 6
472.804 8 7
472.822 9 8
473.151 10 9
473.263 9 8
474.481 10 9
474.527 9 8
475.748 8 7
476.377 7 6
477.405 8 7
477.423 7 6
477.882 6 5
478.21 5 4
478.519 4 3
478.543 3 2
478.992 2 1
479.058 1 0
479.081 2 1
479.98 1 0
479.998 2 1
480.86 1 0
481.809 0 0
483.044 1 0
484.147 2 1
485.547 1 0
486.011 2 1
486.224 3 2
486.666 4 3
487.006 3 2
487.018 4 3
487.618 5 4
487.807 6 5
489.345 7 6
489.701 8 7
489.774 7 6
490.379 8 7
490.455 7 6
490.522 8 7
490.601 9 8
491.243 8 7
491.759 7 6
492.669 6 5
493.086 5 4
493.192 4 3
493.849 5 4
496.203 4 3
496.243 3 2
496.306 4 3
496.486 5 4
496.881 6 5
497.779 7 6
498.109 6 5
498.915 7 6
499.213 6 5
499.219 7 6
499.918 8 7
500.053 9 8
500.13 10 9
500.234 11 10
500.826 12 11
500.908 13 12
501.412 14 13
501.612 15 14
501.884 16 15
503.046 15 14
503.99 14 13
504.111 15 14
504.12 16 15
504.365 15 14
504.591 16 15
505.33 15 14
505.803 14 13
506.197 13 12
507.517 14 13
507.815 13 12
508.551 14 13
509.648 13 12
510.057 14 13
510.222 13 12
510.982 12 11
511.124 11 10
511.719 12 11
512.962 11 10
513.101 12 11
513.256 13 12
514.541 12 11
515.154 11 10
515.387 12 11
515.552 13 12
516.111 14 13
516.612 15 14
516.66 14 13
517.979 13 12
518.277 12 11
519.262 11 10
520.232 10 9
520.321 9 8
520.905 10 9
521.032 9 8
521.192 8 7
521.208 9 8
521.485 10 9
522.048 11 10
522.092 10 9
523.159 9 8
523.735 10 9
523.979 11 10
524.167 12 11
524.274 11 10
524.938 12 11
525.015 13 12
526.279 14 13
526.488 13 12
526.697 12 11
527.054 13 12
528.87 14 13
530.321 15 14
532.305 16 15
532.314 17 16
532.403 16 15
532.61 17 16
533.857 16 15
534.597 15 14
534.639 16 15
534.999 17 16
536.47 16 15
538.063 17 16
539.182 16 15
539.213 15 14
539.774 14 13
540.017 13 12
540.04 14 13
540.549 15 14
541.997 16 15
542.222 17 16
542.571 16 15
542.698 15 14
543.092 16 15
543.406 15 14
543.748 14 13
544.074 13 12
544.276 12 11
544.937 13 12
546.048 12 11
546.594 11 10
546.928 10 9
548.16 11 10
548.335 12 11
548.582 11 10
548.675 12 11
548.798 11 10
549.028 10 9
549.21 9 8
551.123 8 7
551.892 7 6
551.977 8 7
552.171 7 6
553.907 8 7
554.282 9 8
554.595 10 9
555.289 9 8
555.432 8 7
555.685 7 6
557.197 6 5
557.437 5 4
557.447 4 3
557.703 3 2
557.94 2 1
558.954 1 0
559.112 2 1
559.508 3 2
559.592 4 3
559.658 5 4
559.841 6 5
560.056 7 6
560.141 8 7
560.723 7 6
560.89 6 5
561.269 7 6
561.541 6 5
562.33 5 4
562.475 6 5
562.618 5 4
562.819 4 3
563.207 3 2
563.414 4 3
563.467 3 2
564.053 2 1
564.778 3 2
564.966 4 3
565.021 5 4
565.875 4 3
566.422 3 2
566.624 2 1
566.804 1 0
566.904 2 1
567.266 3 2
567.921 2 1
568.269 3 2
568.449 2 1
568.683 1 0
569.287 2 1
569.891 3 2
569.909 2 1
570.085 3 2
570.795 4 3
571.522 3 2
572.857 4 3
572.94 3 2
573.457 2 1
574.312 3 2
574.727 2 1
575.114 1 0
575.518 2 1
575.876 1 0
575.881 0 0
575.903 1 0
576.851 2 1
578.329 1 0
578.608 2 1
578.914 3 2
